#cnt bytes time_avg time_min bandwidth
1186 9488 1.67395e-05 1.64986e-05 5.7508e+08
1191 9528 1.6824e-05 1.65939e-05 5.74186e+08
1196 9568 1.69421e-05 1.65582e-05 5.77842e+08
1201 9608 1.69026e-05 1.65939e-05 5.79007e+08
1206 9648 1.75027e-05 1.67966e-05 5.74402e+08
1211 9688 1.7144e-05 1.69516e-05 5.71511e+08
1216 9728 1.71428e-05 1.67966e-05 5.79165e+08
1221 9768 1.72186e-05 1.69039e-05 5.77856e+08
1226 9808 1.73044e-05 1.69396e-05 5.78997e+08
1231 9848 1.74482e-05 1.70946e-05 5.76088e+08
1236 9888 1.73266e-05 1.69992e-05 5.81673e+08
1241 9928 1.73142e-05 1.70469e-05 5.82392e+08
1246 9968 1.77466e-05 1.71542e-05 5.81082e+08
1251 10008 1.74426e-05 1.71423e-05 5.83819e+08
1256 10048 1.74681e-05 1.70946e-05 5.87788e+08
1261 10088 1.76915e-05 1.74046e-05 5.79618e+08
1266 10128 1.81525e-05 1.74522e-05 5.80327e+08
1271 10168 1.77652e-05 1.74999e-05 5.81031e+08
1276 10208 1.77896e-05 1.75476e-05 5.81732e+08
1281 10248 1.78506e-05 1.75953e-05 5.82429e+08
1286 10288 1.78434e-05 1.7643e-05 5.83122e+08
1291 10328 1.78834e-05 1.76549e-05 5.84994e+08
1296 10368 1.7904e-05 1.76907e-05 5.86072e+08
1301 10408 1.79412e-05 1.77026e-05 5.87937e+08
1306 10448 1.79199e-05 1.77026e-05 5.90196e+08
1311 10488 1.80775e-05 1.78456e-05 5.87707e+08
1316 10528 1.80601e-05 1.77979e-05 5.91529e+08
1321 10568 1.82106e-05 1.78576e-05 5.91794e+08
1326 10608 1.80824e-05 1.78456e-05 5.94431e+08
1331 10648 1.81944e-05 1.79529e-05 5.93107e+08
1336 10688 1.81425e-05 1.78933e-05 5.97318e+08
1341 10728 1.84052e-05 1.80483e-05 5.94405e+08
1346 10768 1.8417e-05 1.80483e-05 5.96622e+08
1351 10808 1.86702e-05 1.8394e-05 5.87583e+08
1356 10848 1.85043e-05 1.82033e-05 5.95937e+08
1361 10888 1.85404e-05 1.82986e-05 5.95017e+08
1366 10928 1.85268e-05 1.82033e-05 6.00332e+08
1371 10968 1.87932e-05 1.8549e-05 5.913e+08
1376 11008 1.88041e-05 1.85013e-05 5.94986e+08
1381 11048 1.86272e-05 1.83105e-05 6.03368e+08
1386 11088 1.85853e-05 1.83463e-05 6.04372e+08
1391 11128 1.87339e-05 1.84417e-05 6.03416e+08
1396 11168 1.86795e-05 1.84417e-05 6.05585e+08
1401 11208 1.8743e-05 1.85013e-05 6.05796e+08
1406 11248 1.88022e-05 1.85013e-05 6.07958e+08
1411 11288 1.88165e-05 1.85966e-05 6.06991e+08
1416 11328 1.88634e-05 1.85966e-05 6.09142e+08
1421 11368 1.88994e-05 1.86563e-05 6.0934e+08
1426 11408 1.90102e-05 1.87039e-05 6.09925e+08
1431 11448 1.9013e-05 1.86443e-05 6.1402e+08
1436 11488 1.89974e-05 1.8692e-05 6.14594e+08
1441 11528 1.90909e-05 1.87993e-05 6.13214e+08
1446 11568 1.90977e-05 1.87993e-05 6.15342e+08
1451 11608 1.9183e-05 1.89543e-05 6.12421e+08
1456 11648 1.91891e-05 1.8847e-05 6.1803e+08
1461 11688 1.92643e-05 1.90496e-05 6.13555e+08
1466 11728 1.92807e-05 1.90496e-05 6.15655e+08
1471 11768 1.94141e-05 1.90973e-05 6.16212e+08
1476 11808 1.94061e-05 1.9145e-05 6.16766e+08
1481 11848 1.95616e-05 1.92404e-05 6.15788e+08
1486 11888 1.9715e-05 1.9443e-05 6.11427e+08
1491 11928 1.9609e-05 1.93e-05 6.18032e+08
1496 11968 1.97471e-05 1.93954e-05 6.17055e+08
1501 12008 1.98411e-05 1.9598e-05 6.12715e+08
1506 12048 1.98104e-05 1.95503e-05 6.16256e+08
1511 12088 1.98935e-05 1.9598e-05 6.16797e+08
